enzyme,substrates,products,genes_id
1.14.11.27,"['C00026', 'C00007']","['C00042', 'C00067', 'C00011']","['22992', '84678']"
1.14.11.29,"['C00026', 'C00007']","['C00042', 'C00011']","['112398', '112399', '54583']"
1.14.11.30,"['C00026', 'C00007']","['C00042', 'C00011']",['55662']
1.14.11.33,"['C00026', 'C00007']","['C00067', 'C00042', 'C00011']",['121642']
1.14.11.4,"['C00026', 'C00007']","['C01211', 'C00042', 'C00011']","['5351', '5352', '8985']"
1.14.11.42,"['C00026', 'C00007']","['C00042', 'C00011']",['129450']
1.14.11.51,"['C03391', 'C00026', 'C00007']","['C00821', 'C00067', 'C00042', 'C00011']","['54784', '8846']"
1.14.11.53,"['C21845', 'C00026', 'C00007']","['C21844', 'C00067', 'C00042', 'C00011']","['54890', '79068']"
1.14.11.54,"['C00026', 'C00007']","['C21844', 'C00067', 'C00042', 'C00011']",['221120']
1.14.11.63,"['C02188', 'C00026', 'C00007']","['C22076', 'C00042', 'C00011']",['100137047']
1.14.11.65,"['C00026', 'C00007']","['C00042', 'C00067', 'C00011']","['23133', '51780', '55806', '55818', '80853']"
1.14.11.66,"['C00026', 'C00007']","['C00042', 'C00067', 'C00011']","['23030', '23081', '390245', '55693', '84864', '9682']"
1.14.11.67,"['C00026', 'C00007']","['C00042', 'C00067', 'C00011']","['10765', '5927', '79697', '8242', '8284']"
1.14.11.68,"['C00026', 'C00007']","['C00042', 'C00067', 'C00011']","['23135', '7403', '7404']"
1.14.11.69,"['C00026', 'C00007']","['C00042', 'C00067', 'C00011']","['23030', '23081', '390245', '55693', '79697', '9682']"
1.14.11.7,"['C01078', 'C00026', 'C00007']","['C04397', 'C00042', 'C00011']","['10536', '55214', '64175']"
1.14.11.73,"['C00613', 'C00026', 'C00007']","['C22296', 'C00042', 'C00011']",['79831']
1.14.11.79,"['C00615', 'C00026', 'C00007']","['C22519', 'C00042', 'C00011']","['79697', '84864']"
1.14.11.8,"['C03793', 'C00026', 'C00007']","['C01259', 'C00042', 'C00011']",['55217']
1.14.11.80,"['C02967', 'C00026', 'C00007', 'C21031', 'C22620']","['C21031', 'C00042', 'C00011', 'C22620', 'C00001', 'C22621']","['200424', '54790', '80312']"
1.14.13.225,"['C21377', 'C00005', 'C00007', 'C00080']","['C21378', 'C00006', 'C00001']","['57553', '64780', '9645']"
1.14.13.32,"['C01779', 'C00005', 'C00080', 'C00007']","['C02809', 'C00006', 'C00001']",['1576']
1.14.13.39,"['C00062', 'C00005', 'C00080', 'C00007']","['C00327', 'C00533', 'C00006', 'C00001']","['4842', '4843', '4846']"
1.14.13.8,"['C02846', 'C00005', 'C00080', 'C00007']","['C01183', 'C00006', 'C00001']","['2326', '2327', '2328', '2329', '2330']"
1.14.13.9,"['C00328', 'C00005', 'C00080', 'C00007']","['C03227', 'C00006', 'C00001']",['8564']
1.14.14.1,"['C01371', 'C03024', 'C00007']","['C01335', 'C03161', 'C00001']","['100861540', '107987478', '107987479', '11283', '1543', '1544', '1545', '1551', '1553', '1558', '1562', '1564', '1565', '1572', '1573', '1577', '1579', '1580', '199974', '260293', '284541', '29785', '57834', '64816', '66002']"
1.14.14.139,"['C05452', 'C03024', 'C00007', 'C05455', 'C02528']","['C05454', 'C03161', 'C00001', 'C00695']",['1582']
1.14.14.14,"['C00535', 'C00007', 'C03024', 'C05294', 'C05295', 'C00280', 'C05290', 'C05297']","['C00058', 'C00001', 'C03161', 'C05294', 'C05295', 'C00468', 'C05290']",['1588']
1.14.14.154,"['C21918', 'C03024', 'C00007', 'C21921']","['C21919', 'C00058', 'C03161', 'C00001', 'C21920', 'C21921']",['1595']
1.14.14.16,"['C03024', 'C00007']","['C03161', 'C00001']",['1589']
1.14.14.17,"['C00751', 'C03024', 'C00007']","['C01054', 'C03161', 'C00001']",['6713']
1.14.14.177,"['C22352', 'C03024', 'C00007']","['C22353', 'C03161', 'C00001']",['126410']
1.14.14.18,"['C00032', 'C03024', 'C00007']","['C00500', 'C14818', 'C00237', 'C03161', 'C00001']","['3162', '3163']"
1.14.14.19,"['C03024', 'C00007']","['C03161', 'C00001']",['1586']
1.14.14.23,"['C00187', 'C03024', 'C00007']","['C03594', 'C03161', 'C00001']",['1581']
1.14.14.24,"['C05443', 'C00007', 'C03024']","['C01561', 'C03161', 'C00001']",['120227']
1.14.14.25,"['C00187', 'C03024', 'C00007']","['C13550', 'C03161', 'C00001']",['10858']
1.14.14.26,"['C13550', 'C03024', 'C00007']","['C15518', 'C03161', 'C00001']",['51302']
1.14.14.29,"['C15519', 'C03024', 'C00007']","['C15520', 'C03161', 'C00001']",['9420']
1.14.14.32,"['C01176', 'C03024', 'C00007', 'C05138']","['C00280', 'C00033', 'C03161', 'C00001', 'C01227']",['1586']
1.14.14.51,"['C00521', 'C03024', 'C00007']","['C00964', 'C03161', 'C00001']","['1557', '1559']"
1.14.14.52,"['C00521', 'C03024', 'C00007']","['C02452', 'C03161', 'C00001']","['1557', '1559']"
1.14.14.53,"['C06099', 'C03024', 'C00007']","['C11409', 'C03161', 'C00001']","['1557', '1559']"
1.14.14.55,"['C06526', 'C03024', 'C00007']","['C07344', 'C03161', 'C00001']",['1576']
1.14.14.56,"['C09844', 'C03024', 'C00007']","['C20326', 'C03161', 'C00001']",['1576']
1.14.14.57,"['C05465', 'C03024', 'C00007', 'C03990']","['C15516', 'C03161', 'C00001', 'C15517']",['1576']
1.14.14.73,"['C01779', 'C03024', 'C00007', 'C21876']","['C02809', 'C03161', 'C00001', 'C21882']","['1573', '1576']"
1.14.14.74,"['C01779', 'C03024', 'C00007']","['C21883', 'C03161', 'C00001']",['1573']
1.14.14.75,"['C21876', 'C03024', 'C00007']","['C21884', 'C03161', 'C00001']","['1557', '1573']"
1.14.14.78,"['C02059', 'C03024', 'C00007']","['C20806', 'C03161', 'C00001']","['4051', '57834', '8529']"
1.14.14.79,"['C06429', 'C03024', 'C00007']","['C20855', 'C03161', 'C00001']","['285440', '4051', '8529']"
1.14.14.80,"['C00638', 'C03024', 'C00007']","['C21886', 'C03161', 'C00001']",['113612']
1.14.14.94,"['C02165', 'C03024', 'C00007']","['C04853', 'C03161', 'C00001']","['4051', '8529']"
1.14.15.15,"['C05454', 'C00662', 'C00080', 'C00007']","['C00667', 'C00001']",['1593']
1.14.15.16,"['C01673', 'C00662', 'C00080', 'C00007', 'C01561']","['C18231', 'C00667', 'C00001', 'C07712']",['1591']
1.14.15.18,"['C01561', 'C00662', 'C00080', 'C00007', 'C07712']","['C01673', 'C00667', 'C00001', 'C18231']",['1594']
1.14.15.36,"['C21918', 'C00138', 'C00080', 'C00007', 'C21920', 'C21921']","['C21919', 'C00058', 'C00139', 'C00001', 'C21920', 'C21921']",['1595']
1.14.15.4,"['C00377', 'C00662', 'C00007', 'C00080']","['C01058', 'C00667', 'C00001']","['1584', '1585']"
1.14.15.5,"['C02140', 'C00662', 'C00007', 'C00080']","['C01124', 'C00667', 'C00001']",['1585']
1.14.15.6,"['C00187', 'C00662', 'C00007', 'C00080', 'C05502']","['C01953', 'C02373', 'C00667', 'C00001', 'C05502']",['1583']
1.14.16.1,"['C00079', 'C05650', 'C00007']","['C00082', 'C22239']",['5053']
1.14.16.2,"['C00082', 'C05650', 'C00007']","['C00355', 'C22239']",['7054']
1.14.16.4,"['C00078', 'C05650', 'C00007']","['C00643', 'C22239']","['121278', '7166']"
1.14.16.5,"['C02773', 'C05650', 'C00007']","['C03658', 'C22239']",['392636']
1.14.17.1,"['C03758', 'C00072', 'C00007']","['C00547', 'C01041', 'C00001']",['1621']
1.14.17.3,"['C02303', 'C00072', 'C00007']","['C03303', 'C01041', 'C00001']",['5066']
1.14.18.1,"['C00082', 'C00007', 'C00355']","['C00822', 'C00001', 'C00355']",['7299']
1.14.18.5,"['C12126', 'C00999', 'C00007', 'C00080']","['C12145', 'C00996', 'C00001']","['123099', '8560']"
1.14.18.6,"['C12145', 'C00999', 'C00007', 'C00080']","['C21020', 'C00996', 'C00001']",['79152']
1.14.18.9,"['C04530', 'C00999', 'C00007', 'C00080', 'C04814', 'C11509']","['C04840', 'C00996', 'C00001', 'C04814', 'C11509']",['6307']
1.14.19.1,"['C00412', 'C00999', 'C00007', 'C00080']","['C00510', 'C00996', 'C00001']","['6319', '79966']"
1.14.19.17,"['C12126', 'C00999', 'C00007', 'C00080']","['C00195', 'C00996', 'C00001']","['123099', '8560']"
1.14.19.20,"['C00999', 'C00007', 'C00080']","['C00996', 'C00001']",['6309']
1.14.19.3,"['C02050', 'C00999', 'C00007', 'C00080', 'C16162']","['C03035', 'C00996', 'C00001', 'C16163']",['9415']
1.14.19.44,"['C03595', 'C00999', 'C00007', 'C00080', 'C16164']","['C02249', 'C00996', 'C00001', 'C16165']",['3992']
1.14.19.53,"['C00473', 'C00662', 'C00080', 'C00007']","['C21797', 'C00667', 'C00001']",['339761']
1.14.19.77,"['C04475', 'C00999', 'C00007', 'C00080']","['C04756', 'C00996', 'C00001']","['387521', '387522']"
1.14.99.1,"['C00219', 'C00030', 'C00007']","['C00427', 'C00028', 'C00001']","['5742', '5743']"
1.14.99.29,"['C00030', 'C00007']","['C00028', 'C00001']",['83475']
1.14.99.38,"['C00187', 'C00030', 'C00007']","['C15519', 'C00028', 'C00001']",['9023']
1.14.99.60,"['C19859', 'C00030', 'C00007']","['C21860', 'C00028', 'C00001']",['10229']
1.14.99.66,"['C00028', 'C00001']","['C00067', 'C00030']",['23028']
1.15.1.1,"['C00704', 'C00080']","['C00007', 'C00027']","['6647', '6648', '6649']"
1.16.1.6,"['C01326', 'C00006']","['C02823', 'C00005', 'C00080']",['25974']
1.16.1.8,"['C00021', 'C00006']","['C06409', 'C00005', 'C00080', 'C00019']",['4552']
1.16.3.1,"['C14818', 'C00080', 'C00007']","['C14819', 'C00001']","['1356', '2395', '341208', '9843']"
1.16.3.2,"['C14818', 'C00007', 'C00001', 'C00027']","['C00080', 'C00027']",['2495']
1.17.1.4,"['C00385', 'C00003', 'C00001']","['C00366', 'C00004', 'C00080']",['7498']
1.17.3.2,"['C00385', 'C00001', 'C00007']","['C00366', 'C00027']",['7498']
1.17.4.1,"['C04232', 'C00343', 'C00001']","['C03723', 'C00342']","['50484', '6240', '6241']"
1.17.4.4,"['C02059', 'C00001', 'C03313']","['C05849', 'C02059']","['154807', '79001']"
1.17.99.3,"['C15613', 'C00001', 'C00028']","['C15614', 'C00030']",['8309']
1.17.99.9,"['C00001', 'C00028']","['C00030', 'C00001']",['1355']
1.18.1.6,"['C00662', 'C00006', 'C00080']","['C00667', 'C00005']",['2232']
1.2.1.12,"['C00118', 'C00009', 'C00003']","['C00236', 'C00004', 'C00080']","['2597', '26330']"
1.2.1.18,"['C00222', 'C00010', 'C00003', 'C00006']","['C00024', 'C00011', 'C00004', 'C00005']",['4329']
1.2.1.24,"['C00232', 'C00003', 'C00001']","['C00042', 'C00004', 'C00080']",['7915']
1.2.1.27,"['C00349', 'C00010', 'C00001', 'C00003']","['C00100', 'C00288', 'C00004']",['4329']
