Group,Subgroup,Pathway
Sensory Perception,Olfactory Signaling Pathway,R-HSA-9752946
Sensory Perception,Sensory processing of sound,R-HSA-9659379
Sensory Perception,Sensory processing of sound,R-HSA-9662360
Sensory Perception,Sensory processing of sound,R-HSA-9662361
Sensory Perception,Sensory processing of sound,R-HSA-9667769
Sensory Perception,Sensory perception of taste,R-HSA-9717189
Sensory Perception,Sensory perception of taste,R-HSA-9717207
Sensory Perception,Sensory perception of taste,R-HSA-9729555
Sensory Perception,Sensory perception of taste,R-HSA-9730628
Cell Cycle,Cell Cycle,R-HSA-1640170
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69278
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-453274
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-453276
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-453279
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-68886
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69242
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-68911
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69275
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-174143
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-1538133
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69206
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69236
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2555396
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-68875
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-68877
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-68884
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2468052
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69239
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69656
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-75815
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-1362277
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-1362300
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-174084
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-174178
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-176407
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-176408
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-176814
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-68881
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-68882
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-162658
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2299718
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2465910
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2980766
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2500257
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2514853
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-380320
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-9648025
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2470946
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-113510
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-68962
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69202
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69205
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69231
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-68952
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69052
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69190
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-156711
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2565942
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-380287
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69273
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-8852276
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-8854050
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-8854518
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-8854521
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-187577
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-113501
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-113507
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-141405
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-174113
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-176417
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-176409
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-176412
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2980767
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-3301854
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-4419969
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-380270
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-380284
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2467813
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2995410
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-68949
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69017
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-176974
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69109
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69186
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69200
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-9754119
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-170145
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-141430
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-174048
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-174154
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-179419
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-2995383
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-9615933
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-9668328
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-380259
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69091
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69183
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-174184
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-179409
Cell Cycle,"Cell Cycle, Mitotic",R-HSA-69166
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69620
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69481
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69615
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69618
Cell Cycle,Cell Cycle Checkpoints,R-HSA-176187
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69473
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69478
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69580
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69613
Cell Cycle,Cell Cycle Checkpoints,R-HSA-141405
Cell Cycle,Cell Cycle Checkpoints,R-HSA-141424
Cell Cycle,Cell Cycle Checkpoints,R-HSA-141430
Cell Cycle,Cell Cycle Checkpoints,R-HSA-141444
Cell Cycle,Cell Cycle Checkpoints,R-HSA-75035
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69563
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69610
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69541
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69560
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69601
Cell Cycle,Cell Cycle Checkpoints,R-HSA-349425
Cell Cycle,Cell Cycle Checkpoints,R-HSA-69895
Cell Cycle,Chromosome Maintenance,R-HSA-73886
Cell Cycle,Chromosome Maintenance,R-HSA-157579
Cell Cycle,Chromosome Maintenance,R-HSA-774815
Cell Cycle,Chromosome Maintenance,R-HSA-171306
Cell Cycle,Chromosome Maintenance,R-HSA-180786
Cell Cycle,Chromosome Maintenance,R-HSA-9670095
Cell Cycle,Chromosome Maintenance,R-HSA-606279
Cell Cycle,Chromosome Maintenance,R-HSA-171319
Cell Cycle,Chromosome Maintenance,R-HSA-174417
Cell Cycle,Chromosome Maintenance,R-HSA-174411
Cell Cycle,Chromosome Maintenance,R-HSA-174414
Cell Cycle,Chromosome Maintenance,R-HSA-174430
Cell Cycle,Chromosome Maintenance,R-HSA-174437
Chromatin organization,Chromatin organization,R-HSA-4839726
Chromatin organization,Chromatin modifying enzymes,R-HSA-3247509
Chromatin organization,Chromatin modifying enzymes,R-HSA-3214815
Chromatin organization,Chromatin modifying enzymes,R-HSA-3214841
Chromatin organization,Chromatin modifying enzymes,R-HSA-3214842
Chromatin organization,Chromatin modifying enzymes,R-HSA-3214847
Chromatin organization,Chromatin modifying enzymes,R-HSA-3214858
Organelle biogenesis and maintenance,Organelle biogenesis and maintenance,R-HSA-1852241
Organelle biogenesis and maintenance,Mitochondrial biogenesis,R-HSA-1592230
Organelle biogenesis and maintenance,Mitochondrial biogenesis,R-HSA-2151201
Organelle biogenesis and maintenance,Mitochondrial biogenesis,R-HSA-2151209
Organelle biogenesis and maintenance,Mitochondrial biogenesis,R-HSA-8949613
Organelle biogenesis and maintenance,Cilium Assembly,R-HSA-5617833
Organelle biogenesis and maintenance,Cilium Assembly,R-HSA-5620912
Organelle biogenesis and maintenance,Cilium Assembly,R-HSA-5620920
Organelle biogenesis and maintenance,Cilium Assembly,R-HSA-5620924
Organelle biogenesis and maintenance,Cilium Assembly,R-HSA-5620916
Organelle biogenesis and maintenance,Cilium Assembly,R-HSA-5620922
Organelle biogenesis and maintenance,Cilium Assembly,R-HSA-5624138
Organelle biogenesis and maintenance,Cilium Assembly,R-HSA-5624958
Developmental Biology,Developmental Biology,R-HSA-1266738
Developmental Biology,Signaling by NODAL,R-HSA-1181150
Developmental Biology,Signaling by NODAL,R-HSA-1433617
Developmental Biology,Regulation of beta-cell development,R-HSA-186712
Developmental Biology,Regulation of beta-cell development,R-HSA-210744
Developmental Biology,Regulation of beta-cell development,R-HSA-210745
Developmental Biology,Regulation of beta-cell development,R-HSA-210746
Developmental Biology,Regulation of beta-cell development,R-HSA-210747
Developmental Biology,Regulation of beta-cell development,R-HSA-211163
Developmental Biology,Transcriptional regulation of white adipocyte differentiation,R-HSA-381340
Developmental Biology,Transcriptional regulation of pluripotent stem cells,R-HSA-452723
Developmental Biology,Transcriptional regulation of pluripotent stem cells,R-HSA-2892245
Developmental Biology,Transcriptional regulation of pluripotent stem cells,R-HSA-2892247
Developmental Biology,Myogenesis,R-HSA-525793
Developmental Biology,Activation of HOX genes during differentiation,R-HSA-5619507
Developmental Biology,Activation of HOX genes during differentiation,R-HSA-5617472
Developmental Biology,LGI-ADAM interactions,R-HSA-5682910
Developmental Biology,Keratinization,R-HSA-6805567
Developmental Biology,Keratinization,R-HSA-6809371
Developmental Biology,Transcriptional regulation of granulopoiesis,R-HSA-9616222
Developmental Biology,Nervous system development,R-HSA-9675108
Developmental Biology,Nervous system development,R-HSA-422475
Developmental Biology,Nervous system development,R-HSA-9619665
Developmental Biology,Nervous system development,R-HSA-2682334
Developmental Biology,Nervous system development,R-HSA-373752
Developmental Biology,Nervous system development,R-HSA-373755
Developmental Biology,Nervous system development,R-HSA-373760
Developmental Biology,Nervous system development,R-HSA-375165
Developmental Biology,Nervous system development,R-HSA-376176
Developmental Biology,Nervous system development,R-HSA-8853659
Developmental Biology,Nervous system development,R-HSA-8866376
Developmental Biology,Nervous system development,R-HSA-3928662
Developmental Biology,Nervous system development,R-HSA-3928663
Developmental Biology,Nervous system development,R-HSA-3928664
Developmental Biology,Nervous system development,R-HSA-3928665
Developmental Biology,Nervous system development,R-HSA-376172
Developmental Biology,Nervous system development,R-HSA-418885
Developmental Biology,Nervous system development,R-HSA-418886
Developmental Biology,Nervous system development,R-HSA-418890
Developmental Biology,Nervous system development,R-HSA-399954
Developmental Biology,Nervous system development,R-HSA-399955
Developmental Biology,Nervous system development,R-HSA-399956
Developmental Biology,Nervous system development,R-HSA-400685
Developmental Biology,Nervous system development,R-HSA-416700
Developmental Biology,Nervous system development,R-HSA-437239
Developmental Biology,Nervous system development,R-HSA-445095
Developmental Biology,Nervous system development,R-HSA-445144
Developmental Biology,Nervous system development,R-HSA-447038
Developmental Biology,Nervous system development,R-HSA-447041
Developmental Biology,Nervous system development,R-HSA-447043
Developmental Biology,Nervous system development,R-HSA-419037
Developmental Biology,Nervous system development,R-HSA-428540
Developmental Biology,Nervous system development,R-HSA-428542
Developmental Biology,Nervous system development,R-HSA-428543
Developmental Biology,Nervous system development,R-HSA-428890
Developmental Biology,Nervous system development,R-HSA-8985586
Developmental Biology,Nervous system development,R-HSA-8985801
Developmental Biology,Nervous system development,R-HSA-9010553
Developmental Biology,Nervous system development,R-HSA-9010642
Developmental Biology,Nervous system development,R-HSA-416550
Developmental Biology,Nervous system development,R-HSA-416572
Developmental Biology,Transcriptional regulation of testis differentiation,R-HSA-9690406
Developmental Biology,Cardiogenesis,R-HSA-9733709
Developmental Biology,Gastrulation,R-HSA-9758941
Developmental Biology,Gastrulation,R-HSA-9754189
Developmental Biology,Gastrulation,R-HSA-9758919
Developmental Biology,Gastrulation,R-HSA-9758920
Developmental Biology,Gastrulation,R-HSA-9761174
Developmental Biology,Gastrulation,R-HSA-9793380
Developmental Biology,Gastrulation,R-HSA-9796292
Developmental Biology,Gastrulation,R-HSA-9823730
Developmental Biology,Gastrulation,R-HSA-9824272
Cellular responses to stimuli,Cellular responses to stimuli,R-HSA-8953897
Cellular responses to stimuli,Cellular responses to stress,R-HSA-2262752
Cellular responses to stimuli,Cellular responses to stress,R-HSA-1234174
Cellular responses to stimuli,Cellular responses to stress,R-HSA-2559583
Cellular responses to stimuli,Cellular responses to stress,R-HSA-3371497
Cellular responses to stimuli,Cellular responses to stress,R-HSA-3371556
Cellular responses to stimuli,Cellular responses to stress,R-HSA-381119
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9648895
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9707616
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9711097
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9711123
Cellular responses to stimuli,Cellular responses to stress,R-HSA-1234158
Cellular responses to stimuli,Cellular responses to stress,R-HSA-1234176
Cellular responses to stimuli,Cellular responses to stress,R-HSA-2559580
Cellular responses to stimuli,Cellular responses to stress,R-HSA-2559582
Cellular responses to stimuli,Cellular responses to stress,R-HSA-2559585
Cellular responses to stimuli,Cellular responses to stress,R-HSA-2559586
Cellular responses to stimuli,Cellular responses to stress,R-HSA-3371453
Cellular responses to stimuli,Cellular responses to stress,R-HSA-3371511
Cellular responses to stimuli,Cellular responses to stress,R-HSA-3371571
Cellular responses to stimuli,Cellular responses to stress,R-HSA-381033
Cellular responses to stimuli,Cellular responses to stress,R-HSA-381042
Cellular responses to stimuli,Cellular responses to stress,R-HSA-381070
Cellular responses to stimuli,Cellular responses to stress,R-HSA-8874177
Cellular responses to stimuli,Cellular responses to stress,R-HSA-8874211
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9633012
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9639288
Cellular responses to stimuli,Cellular responses to stress,R-HSA-3299685
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9707564
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9755511
Cellular responses to stimuli,Cellular responses to stress,R-HSA-2559584
Cellular responses to stimuli,Cellular responses to stress,R-HSA-3371568
Cellular responses to stimuli,Cellular responses to stress,R-HSA-381183
Cellular responses to stimuli,Cellular responses to stress,R-HSA-380994
Cellular responses to stimuli,Cellular responses to stress,R-HSA-381038
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9707587
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9708530
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9759194
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9762114
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9818025
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9818027
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9818028
Cellular responses to stimuli,Cellular responses to stress,R-HSA-9818749
Cellular responses to stimuli,Response to metal ions,R-HSA-5660526
Cellular responses to stimuli,Response to metal ions,R-HSA-5660489
Cellular responses to stimuli,Response to metal ions,R-HSA-5661231
Programmed Cell Death,Programmed Cell Death,R-HSA-5357801
Programmed Cell Death,Apoptosis,R-HSA-109581
Programmed Cell Death,Apoptosis,R-HSA-109606
Programmed Cell Death,Apoptosis,R-HSA-169911
Programmed Cell Death,Apoptosis,R-HSA-5357769
Programmed Cell Death,Apoptosis,R-HSA-75153
Programmed Cell Death,Apoptosis,R-HSA-111452
Programmed Cell Death,Apoptosis,R-HSA-111453
Programmed Cell Death,Apoptosis,R-HSA-111471
Programmed Cell Death,Apoptosis,R-HSA-114294
Programmed Cell Death,Apoptosis,R-HSA-114452
Programmed Cell Death,Apoptosis,R-HSA-75108
Programmed Cell Death,Apoptosis,R-HSA-211728
Programmed Cell Death,Apoptosis,R-HSA-211733
Programmed Cell Death,Apoptosis,R-HSA-140534
Programmed Cell Death,Apoptosis,R-HSA-418889
Programmed Cell Death,Apoptosis,R-HSA-111465
Programmed Cell Death,Apoptosis,R-HSA-140342
Programmed Cell Death,Apoptosis,R-HSA-211736
Programmed Cell Death,Apoptosis,R-HSA-264870
Programmed Cell Death,Apoptosis,R-HSA-351906
Programmed Cell Death,Apoptosis,R-HSA-352238
Programmed Cell Death,Apoptosis,R-HSA-111457
Programmed Cell Death,Apoptosis,R-HSA-111461
Programmed Cell Death,Apoptosis,R-HSA-111469
Programmed Cell Death,Apoptosis,R-HSA-111446
Programmed Cell Death,Apoptosis,R-HSA-111447
Programmed Cell Death,Apoptosis,R-HSA-111448
Programmed Cell Death,Apoptosis,R-HSA-139910
Programmed Cell Death,Apoptosis,R-HSA-139915
Programmed Cell Death,Apoptosis,R-HSA-3371378
Programmed Cell Death,Apoptosis,R-HSA-69416
Programmed Cell Death,Apoptosis,R-HSA-111458
Programmed Cell Death,Apoptosis,R-HSA-111459
Programmed Cell Death,Apoptosis,R-HSA-111463
Programmed Cell Death,Apoptosis,R-HSA-111464
Programmed Cell Death,Apoptosis,R-HSA-9627069
Programmed Cell Death,Regulated Necrosis,R-HSA-5218859
Programmed Cell Death,Regulated Necrosis,R-HSA-5213460
Programmed Cell Death,Regulated Necrosis,R-HSA-5620971
Programmed Cell Death,Regulated Necrosis,R-HSA-5675482
Programmed Cell Death,Regulated Necrosis,R-HSA-5218900
Cell-Cell communication,Cell-Cell communication,R-HSA-1500931
Cell-Cell communication,Nephrin family interactions,R-HSA-373753
Cell-Cell communication,Signal regulatory protein family interactions,R-HSA-391160
Cell-Cell communication,Cell junction organization,R-HSA-446728
Cell-Cell communication,Cell junction organization,R-HSA-421270
Cell-Cell communication,Cell junction organization,R-HSA-446107
Cell-Cell communication,Cell junction organization,R-HSA-446353
Cell-Cell communication,Cell junction organization,R-HSA-373756
Cell-Cell communication,Cell junction organization,R-HSA-418990
Cell-Cell communication,Cell junction organization,R-HSA-420029
Cell-Cell communication,Cell junction organization,R-HSA-446343
Cell-Cell communication,Cell junction organization,R-HSA-446388
Cell-Cell communication,Cell junction organization,R-HSA-420597
Cell-Cell communication,Cell junction organization,R-HSA-9759476
Cell-Cell communication,Cell junction organization,R-HSA-9764260
Cell-Cell communication,Cell junction organization,R-HSA-9759475
Cell-Cell communication,Cell junction organization,R-HSA-9764302
Cell-Cell communication,Cell junction organization,R-HSA-9759811
Cell-Cell communication,Cell junction organization,R-HSA-9762292
Cell-Cell communication,Cell junction organization,R-HSA-9762293
Cell-Cell communication,Cell junction organization,R-HSA-9833576
Metabolism of RNA,Metabolism of RNA,R-HSA-8953854
Metabolism of RNA,Metabolism of non-coding RNA,R-HSA-194441
Metabolism of RNA,Metabolism of non-coding RNA,R-HSA-191859
Metabolism of RNA,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,R-HSA-428359
Metabolism of RNA,Deadenylation-dependent mRNA decay,R-HSA-429914
Metabolism of RNA,Deadenylation-dependent mRNA decay,R-HSA-429947
Metabolism of RNA,Deadenylation-dependent mRNA decay,R-HSA-429958
Metabolism of RNA,Deadenylation-dependent mRNA decay,R-HSA-430039
Metabolism of RNA,Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-450531
Metabolism of RNA,Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-450385
Metabolism of RNA,Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-450408
Metabolism of RNA,Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-450513
Metabolism of RNA,Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-450520
Metabolism of RNA,Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-450604
Metabolism of RNA,mRNA Capping,R-HSA-72086
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-72203
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-72172
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-72187
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-72202
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-72163
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-72165
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-159234
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-159236
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-159227
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-159230
Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,R-HSA-159231
Metabolism of RNA,tRNA processing,R-HSA-72306
Metabolism of RNA,tRNA processing,R-HSA-6782315
Metabolism of RNA,tRNA processing,R-HSA-6784531
Metabolism of RNA,tRNA processing,R-HSA-6785470
Metabolism of RNA,tRNA processing,R-HSA-6787450
Metabolism of RNA,tRNA processing,R-HSA-6782861
Metabolism of RNA,rRNA processing,R-HSA-72312
Metabolism of RNA,rRNA processing,R-HSA-8868766
Metabolism of RNA,rRNA processing,R-HSA-8868773
Metabolism of RNA,rRNA processing,R-HSA-6793080
Metabolism of RNA,rRNA processing,R-HSA-6790901
Metabolism of RNA,rRNA processing,R-HSA-6791226
Metabolism of RNA,Processing of Capped Intronless Pre-mRNA,R-HSA-75067
Metabolism of RNA,Processing of Capped Intronless Pre-mRNA,R-HSA-111367
Metabolism of RNA,Processing of Capped Intronless Pre-mRNA,R-HSA-77588
Metabolism of RNA,Processing of Capped Intronless Pre-mRNA,R-HSA-77595
Metabolism of RNA,mRNA Editing,R-HSA-75072
Metabolism of RNA,mRNA Editing,R-HSA-72200
Metabolism of RNA,mRNA Editing,R-HSA-75064
Metabolism of RNA,mRNA Editing,R-HSA-75094
Metabolism of RNA,mRNA Editing,R-HSA-75102
Metabolism of RNA,mRNA Editing,R-HSA-77042
Metabolism of RNA,Nonsense-Mediated Decay (NMD),R-HSA-927802
Metabolism of RNA,Nonsense-Mediated Decay (NMD),R-HSA-975956
Metabolism of RNA,Nonsense-Mediated Decay (NMD),R-HSA-975957
Circadian Clock,Circadian Clock,R-HSA-400253
Circadian Clock,NR1D1 (REV-ERBA) represses gene expression,R-HSA-1368071
Circadian Clock,RORA activates gene expression,R-HSA-1368082
Circadian Clock,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",R-HSA-1368108
Vesicle-mediated transport,Vesicle-mediated transport,R-HSA-5653656
Vesicle-mediated transport,Membrane Trafficking,R-HSA-199991
Vesicle-mediated transport,Membrane Trafficking,R-HSA-1445148
Vesicle-mediated transport,Membrane Trafficking,R-HSA-157858
Vesicle-mediated transport,Membrane Trafficking,R-HSA-199977
Vesicle-mediated transport,Membrane Trafficking,R-HSA-199992
Vesicle-mediated transport,Membrane Trafficking,R-HSA-6811442
Vesicle-mediated transport,Membrane Trafficking,R-HSA-8856828
Vesicle-mediated transport,Membrane Trafficking,R-HSA-9007101
Vesicle-mediated transport,Membrane Trafficking,R-HSA-917729
Vesicle-mediated transport,Membrane Trafficking,R-HSA-190828
Vesicle-mediated transport,Membrane Trafficking,R-HSA-191650
Vesicle-mediated transport,Membrane Trafficking,R-HSA-204005
Vesicle-mediated transport,Membrane Trafficking,R-HSA-5694530
Vesicle-mediated transport,Membrane Trafficking,R-HSA-6807878
Vesicle-mediated transport,Membrane Trafficking,R-HSA-432720
Vesicle-mediated transport,Membrane Trafficking,R-HSA-432722
Vesicle-mediated transport,Membrane Trafficking,R-HSA-6811438
Vesicle-mediated transport,Membrane Trafficking,R-HSA-6811440
Vesicle-mediated transport,Membrane Trafficking,R-HSA-8856688
Vesicle-mediated transport,Membrane Trafficking,R-HSA-8856825
Vesicle-mediated transport,Membrane Trafficking,R-HSA-8854214
Vesicle-mediated transport,Membrane Trafficking,R-HSA-8876198
Vesicle-mediated transport,Membrane Trafficking,R-HSA-190861
Vesicle-mediated transport,Membrane Trafficking,R-HSA-190873
Vesicle-mediated transport,Membrane Trafficking,R-HSA-6811434
Vesicle-mediated transport,Membrane Trafficking,R-HSA-6811436
Vesicle-mediated transport,Membrane Trafficking,R-HSA-190704
Vesicle-mediated transport,Membrane Trafficking,R-HSA-190827
Vesicle-mediated transport,Membrane Trafficking,R-HSA-190872
Vesicle-mediated transport,Membrane Trafficking,R-HSA-196025
Vesicle-mediated transport,Membrane Trafficking,R-HSA-190840
Vesicle-mediated transport,Binding and Uptake of Ligands by Scavenger Receptors,R-HSA-2173782
Vesicle-mediated transport,Binding and Uptake of Ligands by Scavenger Receptors,R-HSA-2168880
Vesicle-mediated transport,Binding and Uptake of Ligands by Scavenger Receptors,R-HSA-3000471
Vesicle-mediated transport,Binding and Uptake of Ligands by Scavenger Receptors,R-HSA-3000480
Vesicle-mediated transport,Binding and Uptake of Ligands by Scavenger Receptors,R-HSA-3000484
Vesicle-mediated transport,Binding and Uptake of Ligands by Scavenger Receptors,R-HSA-3000497
Gene expression (Transcription),Gene expression (Transcription),R-HSA-74160
Gene expression (Transcription),Gene Silencing by RNA,R-HSA-211000
Gene expression (Transcription),Gene Silencing by RNA,R-HSA-203927
Gene expression (Transcription),Gene Silencing by RNA,R-HSA-426486
Gene expression (Transcription),Gene Silencing by RNA,R-HSA-426496
Gene expression (Transcription),Gene Silencing by RNA,R-HSA-5578749
Gene expression (Transcription),Gene Silencing by RNA,R-HSA-5601884
Gene expression (Transcription),Gene Silencing by RNA,R-HSA-9708296
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-212165
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-212300
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-5221030
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-5250913
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-5250941
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-5334118
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-9772755
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-427389
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-5250924
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-427359
Gene expression (Transcription),Epigenetic regulation of gene expression,R-HSA-427413
Gene expression (Transcription),RNA Polymerase II Transcription,R-HSA-73857
Gene expression (Transcription),RNA Polymerase II Transcription,R-HSA-212436
Gene expression (Transcription),RNA Polymerase II Transcription,R-HSA-674695
Gene expression (Transcription),RNA Polymerase II Transcription,R-HSA-6807505
